kode;produsen;kategori;nama produk;ram;memori;Operating System;Chipset;CPU;GPU;kamera belakang;kamera depan;layar;baterai;harga;terjual;jumlah penilai;bintang;bintang 5;bintang 4;bintang 3;bintang 2;bintang 1;stok
39;Oppo;Find;Oppo-Find-X3-pro-5G;12gb;256gb;Color OS 11.2 berbasis Android 11;SnapdragonTM 888;;Adreno 660 ;50 + 50 + 13 + 3 MP;32 MP;6.7;4.500mAh;14.999.000;29;20;4.8;19;0;0;1;0;1
40;Oppo;Reno;Oppo-Reno-6;8gb;128gb;Color OS 11.1 berbasis Android 11;Snapdragon 720G;2,3Ghz;Adreno 618;64 + 8 + 2 + 2 MP;44 MP;6.4;4.310mAh;4.999.000;2,7rb;1,6rb;4.9;1,5rb;84;3;3;1;218
41;Oppo;Reno;Oppo-Reno-6-5G;8gb;128gb;Color OS 11.3 berbasis Android 11;MediaTek Dimensity 900;2,4Ghz;Mali-G68 MC4 ;64 + 8 + 2 + 2 MP;32 MP;6.4;4.300mAh;7.499.000;251;142;4.9;134;8;0;0;0;5
42;Oppo;A series;Oppo-A74;6gb;128gb;Color OS 11.1 berbasis Android 11;Snapdragon 662;2Ghz;Adreno 610;48 + 2 + 2 MP;16 MP;;5.000mAh;3.399.000;1,1rb;697;4.9;656;41;0;0;0;23
43;Oppo;Reno;Oppo-Reno-6-pro-5G;12gb;256gb;Color OS 11.3 berbasis Android 11;Snapdragon 870;;Adreno 650 ;50 + 16 + 13 + 2 MP;32 MP;6.5;4.500mAh;10.999.000;41;26;4.8;24;1;0;0;1;9
44;Oppo;Reno;Oppo-Reno-5;8gb;128gb;Color OS 11.1 berbasis Android 11;Snapdragon 720G;2,3Ghz;Adreno 618;64 + 8 + 2 + 2 MP;44 MP;6.4;4.310mAh;4.499.000;3,3rb;2,1rb;4.9;2rb;106;8;4;5;263
45;Realme;;Realme-C21Y;4gb;64gb;realme UI;;;;13 MP Triple Camera;;6.5;5.000mAh;1.799.000;7,5rb;4,3rb;4.9;4rb;331;22;4;10;65
46;Realme;;Realme-8-pro-SE;8gb;128gb;realme UI 2.0 on Android 11;Snapdragon 720G;;;108 + 8 + 2 + 2 MP;16 MP;6.4;4.500mAh;4.299.000;80;56;4.9;52;4;0;0;0;24
47;Realme;;Realme-GT-MasterEdition;8gb;128gb;realme UI 2.0;Snapdragon 778G;2,4Ghz;;64 MP;32 MP;;;4.999.000;266;164;4.9;150;12;2;0;0;106
48;Vivo;Y series;Vivo-Y-12s;3gb;32gb;Funtouch OS 11 berdasarkan Android 10;Helio 35;;;8 MP;13 + 2 MP;6.51;5.000mAh;1.899.000;10rb+;9,8rb;4.9;9,2rb;528;43;4;14;66
49;Vivo;Y series;Vivo-Y-21s-ExtraMemori;5gb;128gb;Funtouch OS 11.1 ;Helio P35;;;13 + 2 MP;8 MP;6.51;5.000mAh;2.799.000;886;527;4.9;501;24;2;0;0;27
50;Vivo;Y series;Vivo-Y-21;5gb;64gb;Funtouch OS 11.1 ;Helio P35;;;13 + 2 MP;8 MP;6.51;5.000mAh;2.399.000;2,2rb;1,3rb;4.9;1,2rb;65;5;2;2;22
51;Vivo;Y series;Vivo-Y-53s-Rainbow;8gb;128gb;Funtouch OS 11.1 ;Helio G80 ;;;64 + 2 + 2 MP;16 MP;6.58;5.000mAh;3.699.000;304;195;4.9;179;14;1;0;1;28
52;Vivo;Y series;Vivo-Y-53s-Blue;8gb;128gb;Funtouch OS 11.1 ;Helio G80 ;;;64 + 2 + 2 MP;16 MP;6.58;5.000mAh;3.699.000;270;167;4.9;158;7;1;0;1;67
53;Vivo;X series;Vivo-X-60;8gb;128gb;Funtouch OS 11.1 Global on Android 11;Snapdragon 870;;;48 + 13 + 13 MP;32 MP;6.56;4.300mAh;7.999.000;35;20;4.9;19;0;1;0;0;4
54;Vivo;V series;Vivo-V-21;8gb;128gb;Funtouch OS 11.1 Global on Android 11;Snapdragon 720G;;;64 + 8 + 2 MP;44 MP;6.44;4.000mAh;3.999.000;896;581;4.9;552;27;2;0;0;17
55;Vivo;V series;Vivo-V-23e-Sunshine;8gb;128gb;Funtouch OS 12;MediaTek G96;;;64 + 8 + 2 MP;50 MP;6.44;4.050mAh;4.399.000;265;172;5;166;6;0;0;0;74
56;Vivo;V series;Vivo-V-23e-Moonlight;8gb;128gb;Funtouch OS 12;MediaTek G96;;;64 + 8 + 2 MP;50 MP;6.44;4.050mAh;4.399.000;193;123;4.9;119;2;1;0;1;92
57;Huawei;Nova ;Huawei-Nova-9;8gb;256gb;EMUI 12;Snapdragon 778G;;;50 + 8 MP;32 MP;6.57;4.300mAh;7.599.000;97;61;5;60;1;0;0;0;44
58;Huawei;Mate;Huawei-Mate-Xs-5G;8gb;512gb;EMUI 10.0.1 on Android 10;Kirin 990;;;40 + 16 + 8 MP;;8;4.500mAh;42.999.000;5;3;5;3;0;0;0;0;1
